Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline,17:10,03h 50m,21:00,4.4,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,Greenline (Karunamoyee),17:30,03h 50m,21:20,4.1,INR 486,20 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),18:00,03h 45m,21:45,3.8,INR 486,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),08:40,02h 05m,10:45,4.1,INR 429,9 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Shyamoli Paribahan Pvt Ltd,08:40,01h 50m,10:30,4.6,INR 429,18 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Greenline,08:45,02h 30m,11:15,5.0,INR 429,17 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Greenline (Karunamoyee),08:45,01h 30m,10:15,4.4,INR 429,4 Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Greenline (Karunamoyee),09:15,02h 30m,11:45,4.3,INR 429,13 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Shyamoli Paribahan Pvt Ltd,09:15,02h 00m,11:15,4.4,INR 429,24 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Greenline,09:50,02h 30m,12:20,4.3,INR 429,26 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),10:00,02h 45m,12:45,4.5,INR 429,27 Seats available,Volvo B11R Multi Axle Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,Greenline (Karunamoyee),11:00,02h 30m,13:30,4.3,INR 429,27 Seats available,Volvo A/C Seater (2+2)
